100::ffff:ffff:ffff:ffff                # prov-lg.alphonso.tv
2600:1406:2e00:8ab::2c0c                # cdn.unid.go.com
2600:1406:2e00:980::11a6                # c.go-mpulse.net
2600:1406:2e00:981::18ff                # resources.crowdtwist.com
2600:1406:2e00:984::1dbe                # s-a.innovid.com
2600:1406:2e00:989::1dbe                # s-a.innovid.com
2600:1406:2e00:98a::18ff                # resources.crowdtwist.com
2600:1406:2e00:98b::12c5                # news.iadsdk.apple.com
2600:1406:2e00:98d::11a6                # c.go-mpulse.net
2600:1406:2e00:98d::12c5                # news.iadsdk.apple.com
2600:1406:2e00:b::6010:3785             # cdn3.doubleverify.com
2600:1406:2e00:b::6010:3788             # cdn.doubleverify.com
2600:1406:2e00:b::6010:378b             # ujm.hansel.io
2600:1406:2e00:b::6010:378e             # ds-aksb-a.akamaihd.net
2600:1406:2e00:b::6010:378f             # cdn.doubleverify.com
2600:1406:2e00:b::6010:3791             # prd1.personalization.centech.glulive.com
2600:1406:2e00:b::6010:3793             # cdn3.doubleverify.com
2600:1406:2e00:b::6010:3795             # video-ads-module.ad-tech.nbcuni.com
2600:1406:2e00:b::6010:3796             # geo.nbcsports.com
2600:1406:2e00:b::6010:3799             # ds-aksb-a.akamaihd.net
2600:1406:2e00:b::6010:379b             # log.ad.xiaomi.com
2600:1406:2e00:b::6010:37a2             # video-ads-module.ad-tech.nbcuni.com
2600:1406:2e00:b::6010:37a5             # ujm.hansel.io
2600:1406:2e00:b::6010:37aa             # prd1.personalization.centech.glulive.com
2600:1900:4000:ea00:8000:74:a348:403f   # ufz.doesxyz.com
2600:1900:4000:ea00:8000:75:a348:403f   # ufz.doesxyz.com
2600:1900:4090:356b:0:12c::             # austin.logs.roku.com
2600:1900:4090:356b:0:15::              # scribe.logs.roku.com
2600:1900:4090:356b:0:163::             # austin.logs.roku.com
2600:1900:4090:356b:0:168::             # austin.logs.roku.com
2600:1900:4090:356b:0:16b::             # austin.logs.roku.com
2600:1900:4090:356b:0:16c::             # austin.logs.roku.com
2600:1900:4090:356b:0:1a6::             # scribe.logs.roku.com
2600:1900:4090:356b:0:1a9::             # scribe.logs.roku.com
2600:1900:4090:356b:0:1fe::             # mobile.logs.roku.com
2600:1900:4090:356b:0:210::             # mobile.logs.roku.com
2600:1900:4090:356b:0:22c::             # mobile.logs.roku.com
2600:1900:4090:356b:0:231::             # mobile.logs.roku.com
2600:1900:4090:356b:0:234::             # mobile.logs.roku.com
2600:1900:4090:356b:0:259::             # scribe.logs.roku.com
2600:1900:4090:356b:0:25a::             # scribe.logs.roku.com
2600:1900:4090:356b:0:264::             # scribe.logs.roku.com
2600:1900:4090:356b:0:3d5::             # austin.logs.roku.com
2600:1900:4090:356b:0:3d6::             # austin.logs.roku.com
2600:1900:4090:356b:0:3d8::             # austin.logs.roku.com
2600:1900:4090:356b:0:3e1::             # mobile.logs.roku.com
